,odometer_value,year_produced,engine_fuel,engine_capacity,price_usd
17823,300000,1986,gasoline,1.3,700.0
17824,300000,1998,gas,1.8,3600.0
17826,100000,1989,gasoline,1.8,1000.0
17838,420000,1990,diesel,1.6,2000.0
17839,342000,2008,diesel,1.9,5420.0
17841,270000,1990,diesel,1.9,1600.0
17847,195000,2016,diesel,2.0,16500.0
17848,315000,2000,gasoline,1.6,3600.0
17849,198000,2015,diesel,1.6,13950.0
17852,499000,1991,gasoline,1.8,850.0
17853,350000,1993,diesel,1.9,700.0
17854,245000,1997,gasoline,1.8,3300.0
17861,252000,2007,diesel,1.9,7200.0
17862,300000,1999,gasoline,1.8,3300.0
17869,300000,1982,gasoline,1.6,500.0
17871,185000,2005,gasoline,2.0,5000.0
17873,350000,1993,gasoline,1.8,2300.0
17874,265000,2007,diesel,2.0,6450.0
17879,450000,2004,diesel,2.0,5500.0
17880,313000,1992,diesel,1.9,2000.0
17881,210000,2010,diesel,1.6,10500.0
17882,300000,1996,gasoline,1.8,1900.0
17883,231000,2008,diesel,2.5,7900.0
17886,286000,1999,gasoline,1.6,2950.0
17888,160000,2015,diesel,1.6,15000.0
17889,190000,2006,diesel,2.0,6900.0
17894,120000,2012,gasoline,1.8,10700.0
17895,270000,2003,diesel,1.9,6000.0
17896,235000,2011,gasoline,1.4,10800.0
17897,350000,2007,diesel,2.0,6999.0
17899,300000,1987,gasoline,1.8,800.0
17901,62000,2016,gasoline,1.4,18200.0
17903,350000,1993,gasoline,1.8,850.0
17916,261000,2003,gasoline,1.8,3200.0
17919,130000,2013,gasoline,1.8,12400.0
17921,300000,1993,diesel,1.9,2200.0
17922,335000,2004,diesel,1.9,5500.0
17924,372000,2007,diesel,2.0,8000.0
17928,450000,1997,diesel,1.9,4450.0
17932,300000,1997,gasoline,1.8,3200.0
17934,295000,1999,gasoline,1.8,4500.0
17937,220000,2010,gasoline,1.8,7950.0
17939,100000,1996,gasoline,1.6,2200.0
17945,400000,1989,gasoline,1.6,950.0
17946,396428,1999,diesel,1.9,4900.0
17951,215000,2006,gasoline,2.0,6100.0
17957,233000,2005,gasoline,2.0,5390.0
17964,347909,1993,gasoline,2.8,1245.68
17965,331647,1988,gasoline,2.0,627.42
17966,11,2003,gasoline,1.8,3637.18
17968,85889,1985,diesel,1.6,386.19
17969,452871,2008,gasoline,1.8,5134.68
17971,300299,1992,diesel,1.9,1323.15
17972,407036,1992,diesel,1.9,991.51
17974,211001,1998,gasoline,2.0,2228.02
17979,247584,2008,diesel,2.0,5830.41
17980,548861,1996,diesel,1.9,1229.25
17981,486100,1982,diesel,1.6,302.19
17982,314051,1985,gasoline,1.6,438.99
17990,343419,1991,diesel,1.6,691.45
17991,401882,1993,gasoline,2.0,921.94
17992,314491,1988,gasoline,1.8,499.38
17994,302589,2000,diesel,1.9,3329.22
17995,379922,1988,gasoline,1.8,304.75
17997,274999,1992,gasoline,1.8,691.45
18001,441098,1985,gasoline,1.8,391.82
18002,421164,1992,gasoline,1.8,1060.23
18003,332395,1992,gasoline,1.8,806.7
18007,370000,2001,gasoline,1.8,5000.0
18008,204000,2006,gasoline,2.0,6850.0
18011,300000,1991,gasoline,2.0,750.0
18012,280000,2006,gasoline,2.0,5000.0
18013,287000,2011,diesel,2.0,11900.0
18014,400000,1992,diesel,1.9,1600.0
18017,450000,1998,gasoline,1.6,4200.0
18019,201600,1997,gasoline,1.8,3500.0
18021,206000,1998,gasoline,1.6,3556.86
18027,305300,1994,diesel,1.9,1100.0
18028,254000,2007,diesel,2.0,6700.0
18039,370000,1991,diesel,1.6,1250.0
18040,450000,1993,gasoline,1.8,1100.0
18045,282000,2008,diesel,1.9,6800.0
18047,168000,2011,gasoline,1.8,9722.09
18050,150000,1988,gasoline,1.6,250.0
18056,416000,1997,gasoline,1.8,3800.0
18058,330000,1991,gasoline,1.8,1200.0
18060,245130,2000,gasoline,1.8,3500.0
18061,230000,2005,gasoline,2.0,5200.0
18067,194000,2008,gasoline,2.0,6700.0
18068,300305,1994,diesel,1.9,1500.0
18070,219000,2007,diesel,1.9,7800.0
18074,262300,1991,gasoline,1.8,1200.0
18075,249000,2000,diesel,1.9,4500.0
18078,118000,2011,gasoline,1.8,10500.0
18081,104000,2011,gasoline,1.8,11800.0
18082,210000,2008,gasoline,2.0,5800.0
18086,238000,2006,diesel,2.0,7800.0
18088,300305,1994,diesel,1.9,1500.0
18094,247000,1993,gasoline,2.0,1400.0
18098,159000,2015,diesel,2.0,16350.0
18106,348000,1993,diesel,1.9,1200.0
18109,350000,2001,gasoline,1.8,5000.0
18112,203000,2011,diesel,2.0,13500.0
18113,313000,2005,diesel,2.0,5950.0
18119,450000,1993,diesel,1.9,2300.0
18127,350000,1995,gasoline,1.8,2700.0
18128,162000,2010,gasoline,1.8,8500.0
18133,300000,1988,gasoline,1.8,1750.0
18139,352000,1992,diesel,1.9,1800.0
18140,450000,1997,gasoline,1.8,3150.0
18143,560000,1991,gasoline,2.0,1000.0
18146,400000,1993,diesel,1.9,1999.0
18150,130000,2010,gas,1.4,7900.0
18151,218000,2011,diesel,2.0,12400.0
18152,181500,2015,diesel,1.6,14900.0
18153,512000,1998,gasoline,1.6,3000.0
18154,290000,2007,diesel,2.0,6876.6
18155,236886,1999,gasoline,2.3,4300.0
18158,354000,1996,gasoline,1.6,4500.0
18160,173000,2016,diesel,1.6,14000.0
18162,380000,1990,diesel,1.6,2200.0
18164,170000,2012,diesel,1.6,11300.0
18166,300000,1998,gasoline,1.8,3000.0
18167,224577,1991,gasoline,2.0,1500.0
18172,400000,1996,diesel,1.9,2200.0
18174,411000,2003,diesel,1.9,5500.0
18178,291700,1994,gasoline,1.8,2300.0
18179,390000,2002,diesel,1.9,6400.0
18180,242000,1998,gasoline,1.6,3500.0
18183,157000,2008,gasoline,1.8,7300.0
18184,157000,2008,gasoline,1.8,7300.0
18192,290000,2001,gasoline,1.8,3950.0
18193,300000,1983,gasoline,1.6,700.0
18194,320000,1997,gasoline,1.6,3500.0
18198,450000,1997,gasoline,1.6,3000.0
18204,190000,2012,gasoline,1.4,8600.0
18210,364000,2002,diesel,1.9,5700.0
18213,280000,2004,diesel,1.9,4600.21
18215,999999,1989,gasoline,1.8,700.0
18220,289000,1991,gasoline,2.0,700.0
18222,289000,2009,diesel,2.0,8100.0
18225,229000,2007,gasoline,2.0,7400.0
18228,237000,2008,diesel,2.0,7800.0
18230,385000,2007,diesel,2.0,7100.0
18231,460000,1994,gasoline,1.8,2500.0
18237,380000,2005,diesel,2.0,5400.0
18239,350000,1991,gasoline,1.8,1550.0
18246,280000,1992,gasoline,2.0,1400.0
18248,280000,1997,gasoline,1.8,3600.0
18250,270000,1998,diesel,1.9,5200.0
18251,115000,2014,gasoline,1.8,13300.0
18254,177777,2015,diesel,1.6,18500.0
18259,1000000,1991,gasoline,2.0,1200.0
18260,610000,1993,diesel,1.9,2200.0
18261,240000,2006,diesel,2.0,6850.0
18262,414000,1993,diesel,1.9,1300.0
18270,248000,2010,gasoline,2.0,7200.0
18272,353000,1994,gasoline,2.0,2100.0
18273,250000,2003,diesel,1.9,5500.0
18280,237000,2009,diesel,2.0,7300.0
18285,454690,1990,gasoline,1.8,1000.0
18290,260000,2007,diesel,2.0,7000.0
18292,208000,2015,diesel,1.6,15700.0
18294,486000,1991,diesel,1.6,1200.0
18297,386000,2001,gasoline,1.8,3890.0
18308,250000,1995,gasoline,2.0,2200.0
18313,297000,1997,gasoline,1.6,3462.01
18314,370000,1997,gasoline,1.6,3100.0
18315,360000,1997,gasoline,1.8,2750.0
18317,550000,1993,gasoline,2.0,1700.0
18320,225500,2001,diesel,1.9,4555.0
18321,309000,2007,diesel,2.0,7018.88
18322,528000,1993,diesel,1.9,3700.0
18323,600000,1988,gas,1.6,2500.0
18324,420000,2000,diesel,1.9,4650.0
18325,216000,2008,diesel,1.9,7800.0
18329,151000,2011,gasoline,1.8,10500.0
18331,356598,1991,gasoline,1.8,2000.0
18333,230000,2008,diesel,1.9,7900.0
18335,238000,2005,gasoline,2.0,5600.0
18338,370000,1997,gasoline,1.8,2300.0
18339,215000,2006,gasoline,2.0,6700.0
18340,200000,2001,diesel,1.9,4000.0
18346,99999,1989,diesel,1.9,1700.0
18351,180000,2007,gasoline,2.0,7000.0
18356,270000,1986,gasoline,1.6,600.0
18360,332000,2008,diesel,2.0,9000.0
18363,315000,1989,gasoline,1.8,2500.0
18374,221000,2010,gasoline,1.4,8500.0
18376,320000,2009,diesel,2.0,7950.0
18380,380000,1989,gasoline,2.0,1550.0
18381,95400,1987,gasoline,1.6,550.0
18382,355000,1989,gasoline,1.8,1800.0
18385,285000,1999,gasoline,1.8,3700.0
18389,234555,2002,gasoline,1.8,3800.0
18397,144000,2013,diesel,2.0,11900.0
18400,200000,1986,diesel,1.6,950.0
18401,333000,2004,gasoline,1.8,4500.0
18402,340000,2005,gasoline,2.0,5200.0
18409,215000,2010,diesel,1.6,8950.0
18415,303000,2006,diesel,2.0,6000.0
18416,203000,2014,diesel,1.6,14900.0
18421,400000,1991,diesel,1.6,900.0
