,odometer_value,year_produced,engine_fuel,engine_capacity,price_usd
19256,325000,2004,diesel,1.9,5000.0
19264,217261,2012,gasoline,2.5,10050.0
19265,141000,2010,gasoline,1.8,11500.0
19271,379000,2005,diesel,2.0,6700.0
19273,232000,2006,diesel,2.0,7100.0
19277,230000,1997,gasoline,1.8,4200.0
19286,145000,2008,diesel,1.9,6650.0
19288,150000,2010,diesel,1.6,9700.0
19292,210000,2007,gasoline,2.0,8500.0
19295,333000,1996,gasoline,2.0,2777.0
19297,270000,2007,diesel,1.9,7500.0
19298,210000,2002,diesel,1.9,8400.0
19301,270000,1997,gasoline,1.8,2500.0
19303,1000000,1992,gasoline,1.8,900.0
19307,100000,1990,gasoline,1.8,950.0
